Symbol,Company
SHAKTIPUMP,Shakti Pumps (India) Limited
SHALBY,Shalby Limited
SHALPAINTS,Shalimar Paints Limited
SHANKARA,Shankara Building Products Limited
SHANTI,Shanti Overseas (India) Limited
SHANTIGEAR,Shanthi Gears Limited
SHARDACROP,Sharda Cropchem Limited
SHARDAMOTR,Sharda Motor Industries Limited
SHAREINDIA,Share India Securities Limited
SHEMAROO,Shemaroo Entertainment Limited
SHIL,Somany Home Innovation Limited
SHILPAMED,Shilpa Medicare Limited
SHIVALIK,Shivalik Rasayan Limited
SHIVAM-RE,Shivam Autotech Ltd-RE
SHIVAMAUTO,Shivam Autotech Limited
SHIVAMILLS,Shiva Mills Limited
SHIVATEX,Shiva Texyarn Limited
SHK,S H Kelkar and Company Limited
SHOPERSTOP,Shoppers Stop Limited
SHRADHA,Shradha Infraprojects Limited
SHREDIGCEM,Shree Digvijay Cement Co.Ltd
SHREECEM,SHREE CEMENT LIMITED
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited
SHREERAMA,Shree Rama Multi-Tech Limited
SHRENIK,Shrenik Limited
SHREYANIND,Shreyans Industries Limited
SHREYAS,Shreyas Shipping & Logistics Limited
SHRIPISTON,Shriram Pistons & Rings Limited
SHRIRAMCIT,Shriram City Union Finance Limited
SHRIRAMEPC,Shriram EPC Limited
SHRIRAMPPS,Shriram Properties Limited
SHYAMCENT,Shyam Century Ferrous Limited
SHYAMMETL,Shyam Metalics and Energy Limited
SICAL,Sical Logistics Limited
SIEMENS,Siemens Limited
SIGACHI,Sigachi Industries Limited
SIGIND,Signet Industries Limited
SIKKO,Sikko Industries Limited
SIL,Standard Industries Limited
SILGO,Silgo Retail Limited
SILINV,SIL Investments Limited
SILLYMONKS,Silly Monks Entertainment Limited
SIMBHALS,Simbhaoli Sugars Limited
SIMPLEXINF,Simplex Infrastructures Limited
SINTERCOM,Sintercom India Limited
SINTEX,Sintex Industries Limited
SIRCA,Sirca Paints India Limited
SIS,SIS LIMITED
SITINET,Siti Networks Limited
SIYSIL,Siyaram Silk Mills Limited
SJS,S.J.S. Enterprises Limited
SJVN,SJVN Limited
SKFINDIA,SKF India Limited
SKIPPER,Skipper Limited
SKMEGGPROD,SKM Egg Products Export (India) Limited
SMARTLINK,Smartlink Holdings Limited
SMCGLOBAL,SMC Global Securities Limited
SMLISUZU,SML Isuzu Limited
SMLT,Sarthak Metals Limited
SMSLIFE,SMS Lifesciences India Limited
SMSPHARMA,SMS Pharmaceuticals Limited
SNOWMAN,Snowman Logistics Limited
SOBHA,Sobha Limited
SOLARA,Solara Active Pharma Sciences Limited
SOLARINDS,Solar Industries India Limited
SOMANYCERA,Somany Ceramics Limited
SOMATEX,Soma Textiles & Industries Limited
SOMATEX,Soma Textiles & Industries Limited
SOMICONVEY,Somi Conveyor Beltings Limited
SONACOMS,Sona BLW Precision Forgings Limited
SONATSOFTW,Sonata Software Limited
SORILINFRA,SORIL Infra Resources Limited
SOTL,Savita Oil Technologies Limited
SOUTHBANK,The South Indian Bank Limited
SOUTHWEST,South West Pinnacle Exploration Limited
SPAL,S. P. Apparels Limited
SPANDANA,Spandana Sphoorty Financial Limited
SPARC,Sun Pharma Advanced Research Company Limited
SPCENET,Spacenet Enterprises India Limited
SPECIALITY,Speciality Restaurants Limited
SPENCERS,Spencer's Retail Limited
SPENTEX,Spentex Industries Limited
SPIC,Southern Petrochemicals Industries Corporation  Limited
SPICEJET,SPICEJET LTD
SPLIL,SPL Industries Limited
SPMLINFRA,SPML Infra Limited
SPTL,Sintex Plastics Technology Limited
SPYL,Shekhawati Poly-Yarn Limited
SREEL,Sreeleathers Limited
SREINFRA,SREI Infrastructure Finance Limited
SRF,SRF Limited
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited
SRIPIPES,Srikalahasthi Pipes Limited
SRPL,Shree Ram Proteins Limited
SRTRANSFIN,Shriram Transport Finance Company Limited
SSWL,Steel Strips Wheels Limited
STAMPEDE,Stampede Capital Limited
STAR,Strides Pharma Science Limited
STARCEMENT,Star Cement Limited
STARHEALTH,Star Health and Allied Insurance Company Limited
STARPAPER,Star Paper Mills Limited
STCINDIA,The State Trading Corporation of India Limited
STEELCAS,Steelcast Limited
STEELCITY,Steel City Securities Limited
STEELXIND,STEEL EXCHANGE INDIA LIMITED
STEL,Stel Holdings Limited
STERTOOLS,Sterling Tools Limited
STLTECH,Sterlite Technologies Limited
STOVEKRAFT,Stove Kraft Limited
STYLAMIND,Stylam Industries Limited
SUBCAPCITY,International Constructions Limited
SUBEXLTD,Subex Limited
SUBROS,Subros Limited
SUDARSCHEM,Sudarshan Chemical Industries Limited
SUMEETINDS,Sumeet Industries Limited
SUMICHEM,Sumitomo Chemical India Limited
SUMIT,Sumit Woods Limited
SUMMITSEC,Summit Securities Limited
SUNCLAYLTD,Sundaram Clayton Limited
SUNDARAM,Sundaram Multi Pap Limited
SUNDARMFIN,Sundaram Finance Limited
SUNDARMHLD,Sundaram Finance Holdings Limited
SUNDRMBRAK,Sundaram Brake Linings Limited
SUNDRMFAST,Sundram Fasteners Limited
SUNFLAG,Sunflag Iron And Steel Company Limited
SUNPHARMA,Sun Pharmaceutical Industries Limited
SUNTECK,Sunteck Realty Limited
SUNTV,Sun TV Network Limited
SUPERHOUSE,Superhouse Limited
SUPERSPIN,Super Spinning Mills Limited
SUPPETRO,Supreme Petrochem Limited
SUPRAJIT,Suprajit Engineering Limited
SUPREMEENG,Supreme Engineering Limited
SUPREMEIND,Supreme Industries Limited
SUPREMEINF,Supreme Infrastructure India Limited
SUPRIYA,Supriya Lifescience Limited
SURANASOL,Surana Solar Limited
SURANAT&P,Surana Telecom and Power Limited
SURYALAXMI,Suryalakshmi Cotton Mills Limited
SURYAROSNI,Surya Roshni Limited
SURYODAY,Suryoday Small Finance Bank Limited
SUTLEJTEX,Sutlej Textiles and Industries Limited
SUULD,Suumaya Industries Limited
SUVEN,Suven Life Sciences Limited
SUVENPHAR,Suven Pharmaceuticals Limited
SUVIDHAA,Suvidhaa Infoserve Limited
SUZLON,Suzlon Energy Limited
SVPGLOB,SVP Global Ventures Limited
SWANENERGY,Swan Energy Limited
SWARAJENG,Swaraj Engines Limited
SWELECTES,Swelect Energy Systems Limited
SWSOLAR,Sterling and Wilson Renewable Energy Limited
SYMPHONY,Symphony Limited
SYNGENE,Syngene International Limited
TAINWALCHM,Tainwala Chemical and Plastic (I) Limited
TAJGVK,Taj GVK Hotels & Resorts Limited
TAKE,Take Solutions Limited
TALBROAUTO,Talbros Automotive Components Limited
TANLA,Tanla Platforms Limited
TANTIACONS,Tantia Constructions Limited
TARAPUR,Tarapur Transformers Limited
TARC,TARC Limited
TARMAT,Tarmat Limited
TARSONS,Tarsons Products Limited
TASTYBITE,Tasty Bite Eatables Limited
TATACHEM,Tata Chemicals Limited
TATACOFFEE,Tata Coffee Limited
TATACOMM,Tata Communications Limited
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED
TATAELXSI,Tata Elxsi Limited
TATAINVEST,Tata Investment Corporation Limited
TATAMETALI,Tata Metaliks Limited
TATAMOTORS,Tata Motors Limited
TATAMTRDVR,Tata Motors Limited
TATAPOWER,Tata Power Company Limited
TATASTEEL,Tata Steel Limited
TATASTLLP,Tata Steel Long Products Limited
TATVA,Tatva Chintan Pharma Chem Limited
TBZ,Tribhovandas Bhimji Zaveri Limited
TCI,Transport Corporation of India Limited
TCIDEVELOP,TCI Developers Limited
TCIEXP,TCI Express Limited
TCIFINANCE,TCI Finance Limited
TCNSBRANDS,TCNS Clothing Co. Limited
TCPLPACK,TCPL Packaging Limited
TCS,Tata Consultancy Services Limited
TDPOWERSYS,TD Power Systems Limited
TEAMLEASE,Teamlease Services Limited
TECHIN,Techindia Nirman Limited
TECHM,Tech Mahindra Limited
TECHNOE,Techno Electric & Engineering Company Limited
TEGA,Tega Industries Limited
TEJASNET,Tejas Networks Limited
TEMBO,Tembo Global Industries Limited
TERASOFT,Tera Software Limited
TEXINFRA,Texmaco Infrastructure & Holdings Limited
TEXMOPIPES,Texmo Pipes and Products Limited
TEXRAIL,Texmaco Rail & Engineering Limited
TFCILTD,Tourism Finance Corporation of India Limited
TFL,Transwarranty Finance Limited
TGBHOTELS,TGB Banquets And Hotels Limited
THANGAMAYL,Thangamayil Jewellery Limited
THEINVEST,The Investment Trust Of India Limited
THEMISMED,Themis Medicare Limited
THERMAX,Thermax Limited
THOMASCOOK,Thomas Cook  (India)  Limited
THOMASCOTT,Thomas Scott (India) Limited
THYROCARE,Thyrocare Technologies Limited
TI,Tilaknagar Industries Limited
TIDEWATER,Tide Water Oil Company (India) Limited
TIIL,Technocraft Industries (India) Limited
TIINDIA,Tube Investments of India Limited
TIJARIA,Tijaria Polypipes Limited
TIL,TIL Limited
TIMESGTY,Times Guaranty Limited
TIMETECHNO,Time Technoplast Limited
TIMKEN,Timken India Limited
TINPLATE,The Tinplate Company of India Limited
TIPSINDLTD,TIPS Industries Limited
TIRUMALCHM,Thirumalai Chemicals Limited
TIRUPATIFL,Tirupati Forge Limited
TITAN,Titan Company Limited
TMRVL,The Mandhana Retail Ventures Limited
TNPETRO,Tamilnadu PetroProducts Limited
TNPL,Tamil Nadu Newsprint & Papers Limited
TNTELE,Tamilnadu Telecommunication Limited
TOKYOPLAST,Tokyo Plast International Limited
TORNTPHARM,Torrent Pharmaceuticals Limited
TORNTPOWER,Torrent Power Limited
TOTAL,Total Transport Systems Limited
TOUCHWOOD,Touchwood Entertainment Limited
TPLPLASTEH,TPL Plastech Limited
TREEHOUSE,Tree House Education & Accessories Limited
TREJHARA,TREJHARA SOLUTIONS LIMITED
TRENT,Trent Limited
TRF,TRF Limited
TRIDENT,Trident Limited
TRIGYN,Trigyn Technologies Limited
TRIL,Transformers And Rectifiers (India) Limited
TRITURBINE,Triveni Turbine Limited
TRIVENI,Triveni Engineering & Industries Limited
TTKHLTCARE,TTK Healthcare Limited
TTKPRESTIG,TTK Prestige Limited
TTL,T T Limited
TTML,Tata Teleservices (Maharashtra) Limited
TV18BRDCST,TV18 Broadcast Limited
TVSELECT,TVS Electronics Limited
TVSMOTOR,TVS Motor Company Limited
TVSSRICHAK,TVS Srichakra Limited
TVTODAY,TV Today Network Limited
TWL,Titagarh Wagons Limited
UBL,United Breweries Limited
UCALFUEL,Ucal Fuel Systems Limited
UCOBANK,UCO Bank
UDAICEMENT,Udaipur Cement Works Limited
UFLEX,UFLEX Limited
UFO,UFO Moviez India Limited
UGARSUGAR,The Ugar Sugar Works Limited
UGROCAP,Ugro Capital Limited
UJAAS,Ujaas Energy Limited
UJJIVAN,Ujjivan Financial Services Limited
UJJIVANSFB,Ujjivan Small Finance Bank Limited
ULTRACEMCO,UltraTech Cement Limited
UMANGDAIRY,Umang Dairies Limited
UNICHEMLAB,Unichem Laboratories Limited
UNIDT,United Drilling Tools Limited
UNIENTER,Uniphos Enterprises Limited
UNIINFO,Uniinfo Telecom Services Limited
UNIONBANK,Union Bank of India
UNITECH,Unitech Limited
UNITEDPOLY,United Polyfab Gujarat Limited
UNITEDTEA,The United Nilgiri Tea Estates Company Limited
UNIVASTU,Univastu India Limited
UNIVCABLES,Universal Cables Limited
UNIVPHOTO,Universus Photo Imagings Limited
UPL,UPL Limited
URJA,Urja Global Limited
USHAMART,Usha Martin Limited
UTIAMC,UTI Asset Management Company Limited
UTTAMSTL,Uttam Galva Steels Limited
UTTAMSUGAR,Uttam Sugar Mills Limited
V2RETAIL,V2 Retail Limited
VADILALIND,Vadilal Industries Limited
VAIBHAVGBL,Vaibhav Global Limited
VAISHALI,Vaishali Pharma Limited
VAKRANGEE,Vakrangee Limited
VALIANTORG,Valiant Organics Limited
VARDHACRLC,Vardhman Acrylics Limited
VARDMNPOLY,Vardhman Polytex Limited
VARROC,Varroc Engineering Limited
VASCONEQ,Vascon Engineers Limited
VASWANI,Vaswani Industries Limited
VBL,Varun Beverages Limited
VEDL,Vedanta Limited
VENKEYS,Venky's (India) Limited
VENUSREM,Venus Remedies Limited
VERTOZ,Vertoz Advertising Limited
VESUVIUS,Vesuvius India Limited
VETO,Veto Switchgears And Cables Limited
VGUARD,V-Guard Industries Limited
VHL,Vardhman Holdings Limited
VICEROY,Viceroy Hotels Limited
VIDHIING,Vidhi Specialty Food Ingredients Limited
VIJAYA,Vijaya Diagnostic Centre Limited
VIJIFIN,Viji Finance Limited
VIKASECO,Vikas EcoTech Limited
VIKASLIFE,Vikas Lifecare Limited
VIKASPROP,Vikas Proppant & Granite Limited
VIKASWSP,Vikas WSP Limited
VIMTALABS,Vimta Labs Limited
VINATIORGA,Vinati Organics Limited
VINDHYATEL,Vindhya Telelinks Limited
VINEETLAB,Vineet Laboratories Limited
VINYLINDIA,Vinyl Chemicals (India) Limited
VIPCLOTHNG,VIP Clothing Limited
VIPIND,VIP Industries Limited
VIPULLTD,Vipul Limited
VISAKAIND,Visaka Industries Limited
VISASTEEL,Visa Steel Limited
VISESHINFO,Visesh Infotecnics Limited
VISHAL,Vishal Fabrics Limited
VISHNU,Vishnu Chemicals Limited
VISHWARAJ,Vishwaraj Sugar Industries Limited
VIVIDHA,Visagar Polytex Limited
VIVIMEDLAB,Vivimed Labs Limited
VLIFEPP,Vikas Lifecare Limited
VLSFINANCE,VLS Finance Limited
VMART,V-Mart Retail Limited
VOLTAMP,Voltamp Transformers Limited
VOLTAS,Voltas Limited
VRLLOG,VRL Logistics Limited
VSSL,Vardhman Special Steels Limited
VSTIND,VST Industries Limited
VSTTILLERS,V.S.T Tillers Tractors Limited
VTL,Vardhman Textiles Limited
WABAG,VA Tech Wabag Limited
WABCOINDIA,WABCO India Limited
WALCHANNAG,Walchandnagar Industries Limited
WANBURY,Wanbury Limited
WATERBASE,Waterbase Limited
WEALTH,Wealth First Portfolio Managers Limited
WEBELSOLAR,Websol Energy System Limited
WEIZMANIND,Weizmann Limited
WELCORP,Welspun Corp Limited
WELENT,Welspun Enterprises Limited
WELINV,Welspun Investments and Commercials Limited
WELSPUNIND,Welspun India Limited
WENDT,Wendt (India) Limited
WESTLIFE,Westlife Development Ltd
WHEELS,Wheels India Limited
WHIRLPOOL,Whirlpool of India Limited
WILLAMAGOR,Williamson Magor & Company Limited
WINDLAS,Windlas Biotech Limited
WINDMACHIN,Windsor Machines Limited
WINPRO,WinPro Industries Limited
WIPL,The Western India Plywoods Limited
WIPRO,Wipro Limited
WOCKPHARMA,Wockhardt Limited
WONDERLA,Wonderla Holidays Limited
WORTH,Worth Peripherals Limited
WSI,W S Industries (I) Limited
WSTCSTPAPR,West Coast Paper Mills Limited
XCHANGING,Xchanging Solutions Limited
XELPMOC,Xelpmoc Design And Tech Limited
XPROINDIA,Xpro India Limited
YAARI,Yaari Digital Integrated Services Limited
YESBANK,Yes Bank Limited
YUKEN,Yuken India Limited
ZEEL,Zee Entertainment Enterprises Limited
ZEELEARN,Zee Learn Limited
ZEEMEDIA,Zee Media Corporation Limited
ZENITHEXPO,Zenith Exports Limited
ZENITHSTL,Zenith Steel Pipes & Industries Limited
ZENSARTECH,Zensar Technologies Limited
ZENTEC,Zen Technologies Limited
ZODIAC,Zodiac Energy Limited
ZODIACLOTH,Zodiac Clothing Company Limited
ZOMATO,Zomato Limited
ZOTA,Zota Health Care LImited
ZUARI,Zuari Agro Chemicals Limited
ZUARIGLOB,Zuari Global Limited
ZYDUSWELL,Zydus Wellness Limited
